Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.932,-33.769,-30.28,-26.114,-25.252,-26.289,-23.101,-20.437,-13.486,-11.451,-10.704,-9.014,-10.827,-12.218,-11.845,-11.457,-10.901,-9.581,-8.408,-7.298,-6.381,-5.496,-4.649,2018.0
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.54,73.32,64.38,55.69,47.62,41.07,0.0,0.0,0.0,0.0,0.0,0.0,43.05,45.08,42.07,42.07,40.59,40.09,39.8,50.84,49.56,50.03,51.65,53.0,52.68,54.43,53.68,50.7,51.8,51.8,53.0,55.0,54.0,53.5,53.5,0.0
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.438,78.469,42.908,37.393,36.924,42.065,13.121,13.184,15.133,12.499,17.286,17.502,21.329,20.218,19.658,23.149,29.997,30.869,33.858,33.595,33.813,34.04,34.219,34.054,33.93,2018.0
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.85,61.688,55.953,52.879,54.012,57.26,57.185,58.187,57.932,58.974,53.833,49.432,42.992,37.906,33.921,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.565,143.918,126.941,110.486,106.105,96.257,51.282,45.587,51.587,61.468,56.195,49.279,48.752,49.546,57.692,73.521,76.279,74.386,79.811,76.151,76.861,73.368,66.23,60.872,56.033,2017.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.958,37.436,34.085,33.969,36.67,35.263,32.872,31.102,29.493,28.811,32.891,36.03,36.01,37.166,37.242,39.96,42.646,46.537,48.7,45.814,44.852,45.578,46.323,46.432,46.585,46.665,46.786,2018.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.489,73.332,69.619,68.442,69.997,62.95,61.793,58.853,55.966,56.746,52.382,49.476,44.734,45.452,48.493,52.137,56.007,61.216,62.838,63.085,64.371,64.744,64.698,65.046,64.287,62.911,61.693,60.652,59.748,2018.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.194,15.878,17.697,18.789,17.995,20.447,20.85,18.59,21.909,19.445,25.016,26.955,24.001,19.528,10.671,8.538,8.77,13.084,20.725,18.047,21.533,25.604,34.761,39.679,38.702,43.011,46.391,48.118,50.388,52.024,53.419,55.106,2019.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96,54.072,50.801,48.075,44.773,39.004,37.529,37.774,39.45,40.261,38.603,36.127,33.317,38.504,41.098,45.874,48.563,52.093,53.687,54.876,52.841,51.027,46.146,42.482,41.983,40.213,38.27,36.251,34.251,32.199,2018.0
New Zealand,0.0,0.0,0.0,0.0,153.525,125.881,102.863,77.073,64.696,59.706,58.049,67.422,70.989,63.278,52.586,42.771,35.602,32.085,31.231,29.086,30.284,27.109,23.181,18.429,12.885,7.506,2.842,-0.749,-2.179,1.079,4.724,8.788,10.823,10.992,10.355,9.85,9.098,7.958,7.979,8.187,8.072,7.896,7.791,6.551,3.822,2018.0
