Suma de ECI,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Valor Total
Ecuador,-0.389189,-0.456346,-0.684339,-0.782771,-0.891331,-0.911034,-0.998564,-1.07145,-1.11334,-1.04445,-0.934708,-1.04695,-1.16866,-1.18658,-1.32066,-1.11174,-0.644096,-0.780416,-0.691914,-0.878952,-0.897574,-1.10442,-1.2186,-1.20318,-1.00988,-0.967277,-0.93695,-0.967018,-1.02447,-0.955749,-0.968503,-1.0181,-1.06839,-1.01785,-0.97281,-0.888551,-0.841814,-0.871608,-0.878596,-0.856247,-0.846191,-0.77456,-0.851284,-0.834038,-0.803638,-0.867623,-0.7082,-0.770023,-0.708563,-1.06674,-1.30875,-0.768335,-0.950771,-0.933232,-49.967025
Egypt,-0.221166,-0.255621,-0.121717,-0.086774,-0.152495,-0.214962,-0.136492,-0.026385,0.084044,0.118683,0.063234,0.077666,0.061756,0.061075,-0.00279,-0.154764,-0.377018,-0.558607,-0.537723,-0.404609,-0.492947,-0.458009,-0.370879,-0.47398,-0.399866,-0.451679,-0.535157,-0.439201,-0.324477,-0.374028,-0.403994,-0.446871,-0.46767,-0.535714,-0.51622,-0.409572,-0.367532,-0.432688,-0.40861,-0.368092,-0.351883,-0.313441,-0.225445,-0.220008,-0.203256,-0.246454,-0.222178,-0.289977,-0.321576,-0.488663,-0.341403,-0.376617,-0.346329,-0.319753,-15.728834
El Salvador,0.372131,0.354408,0.336836,0.443734,0.579651,0.547753,0.565368,0.554931,0.678434,0.681508,0.659586,0.610358,0.368276,0.274197,0.331769,0.286214,0.192411,0.293248,0.366672,0.345506,0.148986,-0.559493,0.294898,0.472801,0.319616,0.296832,0.322887,0.278094,0.400187,0.240982,0.148981,-0.018033,-0.191735,-0.111639,-0.014612,-0.030598,-0.077975,-0.09812,-0.125807,-0.102685,-0.094959,-0.080838,-0.116526,-0.189023,-0.061823,-0.081826,-0.049824,-0.117335,-0.007233,-0.145168,-0.070683,-0.518145,-0.491815,-0.336211,8.075149
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154759,0.217702,0.256368,0.457924,0.545415,0.514904,0.547724,0.474429,0.502223,0.584589,0.498964,0.515964,0.562663,0.674146,0.694548,0.713069,0.710075,0.716777,0.704934,0.746338,0.76017,0.68394,0.752262,0.86561,0.843983,0.898422,15.597902
Ethiopia,-0.902296,-0.742513,-0.879627,-0.853689,-0.932435,-0.87046,-1.02267,-1.03374,-1.15615,-1.07269,-1.03366,-0.994609,-1.02621,-1.05803,-1.07115,-1.19928,-1.17153,-1.05514,-0.7192,-0.758394,-0.70973,-0.775537,-0.969597,-0.812948,-0.964332,-0.971688,-0.932032,-1.04104,-1.0629,-0.916323,-0.729946,-1.02858,-1.20396,-1.33563,-1.34347,-1.08673,-1.09717,-0.99011,-0.933984,-0.93631,-1.1606,-0.937456,-1.05951,-1.14921,-1.3133,-1.30834,-1.2717,-1.26465,-1.15076,-1.46341,-1.56239,-1.31886,-1.30394,-1.27445,-56.934066
Finland,1.47829,1.41401,1.4211,1.32294,1.38039,1.45759,1.42408,1.35226,1.37407,1.34622,1.41397,1.41914,1.27995,1.29729,1.34838,1.35975,1.46544,1.36337,1.43566,1.47076,1.44496,1.58759,1.57979,1.69034,1.65903,1.7338,1.8112,1.81157,1.8564,1.89635,1.9172,1.87757,1.93772,1.90875,1.89548,1.89805,1.85628,1.85446,1.86151,1.80769,1.81559,1.80046,1.77725,1.77327,1.75639,1.71426,1.67979,1.71439,1.61173,1.57477,1.49895,1.77048,1.72464,1.70679,87.62916
France,1.79019,1.76682,1.73585,1.7497,1.75071,1.73018,1.73046,1.69848,1.66878,1.61751,1.65195,1.58377,1.49599,1.54568,1.62775,1.68432,1.6675,1.61752,1.64914,1.64592,1.65194,1.75725,1.71191,1.69556,1.62,1.64251,1.58344,1.62708,1.71048,1.72926,1.71064,1.69969,1.60763,1.58323,1.54483,1.56021,1.58127,1.58792,1.60699,1.60873,1.55541,1.54456,1.50134,1.47143,1.46951,1.46536,1.45099,1.43611,1.36854,1.24155,1.15748,1.41803,1.40465,1.38964,86.10339
Gabon,-1.32597,-1.37709,-1.51319,-1.45307,-1.24293,-1.41464,-1.24468,-1.62498,-1.3714,-1.58036,-1.60746,-1.88408,-1.66631,-1.53803,-1.31778,-1.39642,-1.37809,-1.48457,-1.5229,-1.56763,-1.49385,-1.1978,-1.39269,-1.51237,-1.49476,-1.22518,-1.34855,-1.35225,-1.12944,-1.46737,-1.60925,-1.34952,-1.25007,-1.5865,-1.55086,-1.14666,-1.18934,-0.920493,-1.26716,-1.6291,-0.956786,-1.31646,-1.26555,-0.961084,-0.693013,-0.749222,-1.09114,-0.829728,-1.36163,,,-1.06145,-1.36159,-1.22477,-69.497216
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21613,-0.039227,-0.014192,0.458729,0.37478,0.20617,0.172483,0.238245,0.211482,0.217142,0.138305,0.178932,-0.17425,-0.18585,-0.305433,-0.257126,-0.480803,-0.332959,-0.285249,-0.152888,-0.168891,-0.419841,-0.457954,-0.13572,-0.104348,-0.0587891,-1.5933821
Germany,2.3398,2.35278,2.26339,2.28536,2.29043,2.28258,2.30919,2.24741,2.29945,2.31199,2.1881,2.0945,1.88162,1.91189,1.98571,2.13579,2.0861,2.01825,1.98445,1.98972,2.04753,2.13019,2.13913,2.16696,2.17723,2.19761,2.19821,2.22515,2.32404,2.28213,2.29872,2.30351,2.33549,2.25612,2.20218,2.26714,2.26168,2.23828,2.2377,2.19574,2.20445,2.15958,2.11126,2.01485,1.95078,1.91653,1.88894,1.9408,1.87347,1.84608,1.81367,2.09809,2.08459,2.07537,115.72171
